ticker,name,pagerank,betweenness,theme_pagerank,theme_degree,is_twse_listed
6415,矽力*-KY,,,0.0065740655900165,190.0,1
6451,訊芯-KY,,,0.0013326377786867,22.0,1
1219,福壽,,,,,1
2608,嘉里大榮,,,,,1
1217,愛之味,,,,,1
1234,黑松,,,,,1
1409,新纖,,,,,1
1313,聯成,,,,,1
1339,昭輝,,,,,1
1522,堤維西,,,,,1
1524,耿鼎,,,,,1
4543,萬在,,,,,1
1587,吉茂,,,,,1
1447,力鵬,,,,,1
1464,得力,,,,,1
2916,滿心,,,,,1
1417,嘉裕,,,,,1
1460,宏遠,,,,,1
4414,如興,,,,,1
1514,亞力,,,,,1
6869,雲豹能源,,,,,1
1598,岱宇,,,,,1
2748,雲品,,,,,1
1568,倉佑,,,,,1
6491,晶碩,,,,,1
4771,望隼,,,,,1
6782,視陽,,,,,1
2067,嘉鋼,,,,,1
2035,唐榮,,,,,1
1608,華榮,,,,,1
1618,合機,,,,,1
6873,泓德能源,,,,,1
1294,漢田生技,,,,,1
3705,永信,,,,,1
6472,保瑞,,,,,1
1712,興農,,,,,1
1730,花仙子,,,,,1
6589,台康生技,,,,,1
4728,雙美,,,,,1
1817,凱撒衛,,,,,1
6504,南六,,,,,1
2023,燁輝,,,,,1
2211,長榮鋼,,,,,1
2015,豐興,,,,,1
2028,威致,,,,,1
2020,美亞,,,,,1
2029,盛餘,,,,,1
2034,允強,,,,,1
2030,彰源,,,,,1
6584,南俊國際,,,,,1
6712,長聖,,,,,1
3276,宇環,,,,,1
1528,恩德,,,,,1
4533,協易機,,,,,1
3033,威健,,,,,1
2468,華經,,,,,1
5244,弘凱,,,,,1
6166,凌華,,,,,1
2397,友通,,,,,1
3088,艾訊,,,,,1
5536,聖暉*,,,,,1
2424,隴華,,,,,1
6101,寬魚國際,,,,,1
6265,方土昶,,,,,1
6525,捷敏-KY,,,,,1
2430,燦坤,,,,,1
6281,全國電,,,,,1
4967,十銓,,,,,1
6126,信音,,,,,1
6689,伊雲谷,,,,,1
6112,邁達特,,,,,1
6690,安碁資訊,,,,,1
3317,尼克森,,,,,1
5258,虹堡,,,,,1
2542,興富發,,,,,1
2520,冠德,,,,,1
2739,寒舍,,,,,1
5533,皇鼎,,,,,1
2617,台航,,,,,1
2641,正德,,,,,1
5609,中菲行,,,,,1
2729,瓦城,,,,,1
2752,豆府,,,,,1
2706,第一店,,,,,1
2745,五福,,,,,1
2743,山富,,,,,1
2888,新光金(下市),,,,,1
6024,群益期,,,,,1
4572,駐龍,,,,,1
5007,三星,,,,,1
6679,鈺太,,,,,1
6933,AMAX-KY,,,,,1
3363,上詮,,,,,1
6569,醫揚,,,,,1
6206,飛捷,,,,,1
8234,新漢,,,,,1
3564,其陽,,,,,1
3048,益登,,,,,1
6806,森崴能源,,,,,1
3015,全漢,,,,,1
6643,M31,,,,,1
8112,至上,,,,,1
2484,希華,,,,,1
3221,台嘉碩,,,,,1
4960,誠美材,,,,,1
4976,佳凌,,,,,1
6283,淳安,,,,,1
5484,慧友,,,,,1
2440,太空梭,,,,,1
4527,方土霖,,,,,1
4526,東台,,,,,1
4942,嘉彰,,,,,1
3526,凡甲,,,,,1
6747,亨泰光(下櫃),,,,,1
6243,迅杰,,,,,1
6719,力智,,,,,1
5299,杰力,,,,,1
6830,汎銓,,,,,1
6542,隆中,,,,,1
3504,揚明光,,,,,1
3224,三顧,,,,,1
3128,昇銳,,,,,1
3630,新鉅科,,,,,1
4999,鑫禾,,,,,1
6532,瑞耘,,,,,1
3551,世禾,,,,,1
3234,光環,,,,,1
6246,臺龍,,,,,1
3455,由田,,,,,1
1582,信錦,,,,,1
6443,元晶,,,,,1
6244,茂迪,,,,,1
6477,安集,,,,,1
3010,華立,,,,,1
6840,東研信超,,,,,1
2478,大毅,,,,,1
7722,LINEPAY,,,,,1
6180,橘子,,,,,1
3546,宇峻,,,,,1
1788,杏昌,,,,,1
6547,高端疫苗,,,,,1
1714,和桐,,,,,1
1752,南光,,,,,1
6794,向榮生技,,,,,1
8482,商億-KY,,,,,1
2066,世德,,,,,1
6637,醫影,,,,,1
8403,盛弘,,,,,1
1321,大洋,,,,,1
3178,公準,,,,,1
8083,瑞穎,,,,,1
2483,百容,,,,,1
4737,華廣,,,,,1
1733,五鼎,,,,,1
2419,仲琦,,,,,1
2314,台揚,,,,,1
2331,精英,,,,,1
8076,伍豐,,,,,1
8213,志超,,,,,1
8099,大世科,,,,,1
8284,三竹,,,,,1
6752,叡揚,,,,,1
6776,展碁國際,,,,,1
1711,永光,,,,,1
2489,瑞軒,,,,,1
6741,91APP*-KY,,,,,1
5321,美而快,,,,,1
4755,三福化,,,,,1
8409,商之器,,,,,1
1808,潤隆,,,,,1
2719,燦星旅,,,,,1
2734,易飛網,,,,,1
2834,臺企銀,,,,,1
2908,特力,,,,,1
3540,曜越,,,,,1
6438,迅得,,,,,1
6667,信紘科,,,,,1
6691,洋基工程,,,,,1
2543,皇昌,,,,,1
5521,工信,,,,,1
2427,三商電,,,,,1
5403,中菲,,,,,1
3236,千如,,,,,1
3501,維熹,,,,,1
3339,泰谷,,,,,1
6517,保勝光學,,,,,1
2241,艾姆勒,,,,,1
5283,禾聯碩,,,,,1
1604,聲寶,,,,,1
3357,臺慶科,,,,,1
6224,聚鼎,,,,,1
6533,晶心科,,,,,1
1521,大億,,,,,1
8027,鈦昇,,,,,1
5227,立凱-KY,,,,,1
6204,艾華,,,,,1
6205,詮欣,,,,,1
6485,點序,,,,,1
6695,芯鼎,,,,,1
6435,大中,,,,,1
6803,崑鼎,,,,,1
6923,中台,,,,,1
2012,春雨,,,,,1
8473,山林水,,,,,1
8936,國統,,,,,1
1784,訊聯,,,,,1
6615,慧智,,,,,1
8931,大汽電,,,,,1
6768,志強-KY,,,,,1
6890,來億-KY,,,,,1
9802,鈺齊-KY,,,,,1
9925,新保,,,,,1
3703,欣陸,,,,,1
4438,廣越,,,,,1
9905,大華,,,,,1
2535,達欣工,,,,,1
3663,鑫科,,,,,1
4721,美琪瑪,,,,,1
4739,康普,,,,,1
2013,中鋼構,,,,,1
2010,春源,,,,,1
2330,台積電,0.0038271951313492,0.0117422151185588,0.002126616927137,44.0,1
AAPL,Apple (蘋果 - 終端客戶),0.003781757448806,0.0052271339534061,,,0
2347,聯強,0.0029647424214978,0.0004062680211426,0.004680970981128,136.0,1
NVDA,Nvidia (輝達 - 終端),0.0025302222246643,0.0138733054369341,,,0
2317,鴻海,0.002343808529071,0.0103470148957649,0.0037713199532344,106.0,1
6148,驊宏資,0.0020978226688983,0.0002617799421931,0.0031844912337825,88.0,1
DELL,Dell (戴爾),0.0020368667823017,0.0001668863704651,,,0
TSLA,Tesla (特斯拉),0.001938372551838,0.0,,,0
MSFT,Microsoft (微軟),0.001934487680441,0.007937139820547,,,0
HPQ,HP (惠普),0.0018367598832248,6.234337149357479e-05,,,0
AMZN,Amazon (亞馬遜),0.0018349537445841,0.0012755804505206,,,0
5478,智冠,0.001780568917687,0.0048166390348826,0.000896933054001,3.0,1
2382,廣達,0.0016982595098863,0.0016237793051059,0.0058670294580136,173.0,1
2357,華碩,0.0015838229365321,0.0007633042351339,0.0043188125851505,126.0,1
0992.HK,Lenovo (聯想 - JV Partner),0.0014374430700973,0.0,,,0
2383,台光電,0.001417660873503,0.0008914673355303,0.0034253068144581,86.0,1
AMD,AMD (超微 - 終端),0.001333541698422,0.0012045784124367,,,0
2303,聯電,0.0013334242813769,0.0070453397267644,0.001586687863026,30.0,1
2308,台達電,0.0013167784422972,0.0037929523192886,0.0017457008141332,31.0,1
5203,訊連,0.0013151265866,0.000175688460478,0.0006176029406552,7.0,1
2327,國巨*,0.0012825323592833,0.0015811186968305,0.0049047322245177,131.0,1
2412,中華電,0.0012785274758775,0.0012912139425447,0.0038833929929041,107.0,1
2465,麗臺,0.0012352481728983,0.0002081823097599,0.003488799458578,97.0,1
2610,華航,0.0012284137584537,3.5448936045608066e-05,0.0020781801921853,9.0,1
META,Meta (臉書),0.0011807374744162,0.0,,,0
INTC,Intel (英特爾/Barefoot),0.0011751071520854,0.0035147402233556,,,0
3037,欣興,0.0011453265150331,0.0016021843342821,0.0034186621316539,93.0,1
2345,智邦,0.0011264817585408,0.0015070376500771,0.0019268696412394,41.0,1
3711,日月光投控,0.0010863004823683,0.0014519015150006,0.0016548180429712,32.0,1
2368,金像電,0.001073551157713,0.0003743556643695,0.0013922109441272,27.0,1
2301,光寶科,0.0010725541014148,0.0018563871133633,0.0033269350562475,93.0,1
005930.KS,Samsung (三星 - NB),0.0010699803246632,0.0013719074037216,,,0
2450,神腦,0.0010637535455536,0.000206319843768,0.0021653066939332,56.0,1
4904,遠傳,0.0010187733210562,0.0002586758322067,0.0013332219988318,25.0,1
3045,台灣大,0.001004487492001,0.0004628227989842,0.0037499069429839,103.0,1
