source,source_name,target,target_name,via
1102,亞泥,1101,台泥,
2634,漢翔,1101,台泥,
8038,長園科,1101,台泥,
8341,日友,1101,台泥,
8422,可寧衛*,1101,台泥,
9955,佳龍,1101,台泥,
6505,台塑化,1101,台泥,
1101,台泥,1102,亞泥,
9955,佳龍,1102,亞泥,
1215,卜蜂,1210,大成,
1215,卜蜂,1210,大成,
1215,卜蜂,1210,大成,
1215,卜蜂,1210,大成,
1216,統一,1210,大成,
1218,泰山,1210,大成,
1218,泰山,1210,大成,
1210,大成,1215,卜蜂,
1210,大成,1215,卜蜂,
1218,泰山,1215,卜蜂,
1231,聯華食,1215,卜蜂,
1210,大成,1216,統一,
1210,大成,1216,統一,
1215,卜蜂,1216,統一,
1215,卜蜂,1216,統一,
1218,泰山,1216,統一,
1218,泰山,1216,統一,
1227,佳格,1216,統一,
1229,聯華,1216,統一,
1231,聯華食,1216,統一,
1231,聯華食,1216,統一,
1707,葡萄王,1216,統一,
1903,士紙,1216,統一,
5434,崇越,1216,統一,
9939,宏全,1216,統一,
1227,佳格,1218,泰山,
1231,聯華食,1227,佳格,
1231,聯華食,1227,佳格,
1210,大成,1229,聯華,
1227,佳格,1231,聯華食,
1303,南亞,1301,台塑,
1305,華夏,1301,台塑,
1314,中石化,1301,台塑,
5340,建榮,1301,台塑,
1305,華夏,1303,南亞,
1402,遠東新,1303,南亞,
1717,長興,1303,南亞,
1727,中華化,1303,南亞,
1802,台玻,1303,南亞,
1815,富喬,1303,南亞,
2383,台光電,1303,南亞,
4303,信立,1303,南亞,
4722,國精化,1303,南亞,
5340,建榮,1303,南亞,
5340,建榮,1303,南亞,
5475,德宏,1303,南亞,
8358,金居,1303,南亞,
1301,台塑,1314,中石化,
1402,遠東新,1314,中石化,
2236,百達-KY,1319,東陽,
1303,南亞,1326,台化,
1402,遠東新,1326,台化,
1303,南亞,1402,遠東新,
1434,福懋,1402,遠東新,
1476,儒鴻,1402,遠東新,
1476,儒鴻,1402,遠東新,
2915,潤泰全,1402,遠東新,
1903,士紙,1419,新紡,
1476,儒鴻,1434,福懋,
2915,潤泰全,1434,福懋,
4303,信立,1434,福懋,
9938,百和,1434,福懋,
1402,遠東新,1476,儒鴻,
1419,新紡,1476,儒鴻,
1477,聚陽,1476,儒鴻,
1402,遠東新,1477,聚陽,
1419,新紡,1477,聚陽,
1476,儒鴻,1477,聚陽,
4303,信立,1477,聚陽,
1101,台泥,1503,士電,
1419,新紡,1503,士電,
1504,東元,1503,士電,
1513,中興電,1503,士電,
1519,華城,1503,士電,
1519,華城,1503,士電,
1903,士紙,1503,士電,
