source,source_name,target,target_name,share,via
1101,台泥,2457,飛宏,,儲能系統/資金 (策略夥伴)
1101,台泥,2501,國建,,水泥/預拌混凝土
1101,台泥,5522,遠雄,,水泥/預拌混凝土
1101,台泥,5534,長虹,,水泥/預拌混凝土
1101,台泥,,Turkish Cement Market (OYAK JV),約 20-25% (估),低碳水泥 (土耳其市場)
1101,台泥,,European Cement Market (Cimpor),約 15-20% (估),低碳水泥 (葡萄牙/歐洲)
1101,台泥,,Domestic Construction (Taiwan),約 35-37% (區域),"預拌混凝土, 卜特蘭水泥"
1101,台泥,,China Cement Market,約 20-22% (區域),"水泥, 熟料 (營收佔比下降)"
1101,台泥,,eVTOL/Air Mobility Clients,約 5-8% (估),高放電功率三元電池 (Molicel)
1101,台泥,Priv.,High-End Appliance (Dyson),約 3-5% (估),吸塵器/家電用電池
1101,台泥,,Electric Supercars (McMurtry),約 1-2% (估),高性能電池模組
1101,台泥,2308/Other,Energy Storage Projects (Taiwan),約 5-8% (估),"AFC 儲能服務, NHOA 儲能系統"
1101,台泥,,EV Charging Stations (NHOA),約 2-3% (估),歐洲充電樁營運
1101,台泥,,Taipower (台電),約 2-3% (估),"和平電廠售電, 綠電轉供"
1102,亞泥,1402,遠東新,約 2-3% (關係企業),建材/混凝土 (集團建案)
1102,亞泥,2903,遠百,約 1% (集團),營建工程材料
1102,亞泥,5522,遠雄,,水泥
1102,亞泥,Priv.,Construction Projects (民間營建),約 35-40% (水泥主力),"袋裝/散裝水泥, 預拌混凝土 (亞東)"
1102,亞泥,Priv.,Taipower (台電 - 售電),約 22-23% (電力主力),嘉惠電力 (天然氣發電) 售電收入
1102,亞泥,Gov.,Public Infrastructure (公共工程),約 15-20% (基建),"特種水泥, 預拌混凝土"
1102,亞泥,US/Singapore,Export Markets (外銷),約 5-8% (外銷),水泥外銷 (美西/夏威夷/新加坡)
1102,亞泥,Yuan Long,Stainless Steel Clients (不黑鋼),約 5-6% (子公司),不鏽鋼捲/板 (遠龍不鏽鋼)
1102,亞泥,Priv.,Shipping Clients (航運),約 2-3% (運輸),散裝航運服務 (富民運輸)
1102,亞泥,Ya Tung,RMC Plants (預拌廠),約 2-3% (垂直整合),亞東預拌混凝土 (自用/外售)
1102,亞泥,Priv.,Others (其他),約 1-2% (租賃等),資產出租
1210,大成,Priv.,Livestock Farms (養殖戶),約 45-50% (飼料主力),雞/豬/水產飼料
1210,大成,PX Mart/7-11,Retail Channels (零售通路),約 15-18% (肉品/食品),"生鮮雞肉, 加工食品 (雞塊/冷凍食品)"
1210,大成,McDonalds/KFC,Food Service/B2B (餐飲業務),約 10-12% (加工肉品),"雞肉原料, 加工肉品"
1210,大成,Priv.,Commodity Traders (大宗物資),約 10-14% (B2B),"黃豆粉, 食用油銷售"
1210,大成,Priv.,Gino/Saboten (自營餐飲),約 3-5% (餐飲),"勝博殿, 檀島, 岩島成 (餐飲服務)"
1210,大成,Priv.,China Market (大陸市場),約 2-3% (食品),加工食品 (大成食品亞洲)
1210,大成,COST,Costco (好市多),約 2-3% (零售),"雞肉產品, 冷凍食品"
1210,大成,Neo Foods,Plant-Based (植物肉),約 1% (新創),新創植物肉 (Neo Foods)
1210,大成,Gomo,Pet Food (寵物食品),約 1% (高毛利),Gomo 寵物飼料
1210,大成,Priv.,Biotech Clients (生技),約 1% (利基),全能營養生技 (保健品)
1215,卜蜂,2912,統一超,約 15-20% (通路),"微波鮮食, 茶葉蛋原料"
1215,卜蜂,Retail/B2B,Meat Processing (肉品加工),約 40% (主力),"生鮮雞肉, 豬肉分切"
1215,卜蜂,7-11/PX Mart,Processed Food (加工食品),約 30-35% (即食商機),"炸雞, 雞塊, 即食餐盒 (CP Brand)"
1215,卜蜂,Farms,Feed Customers (飼料客戶),約 25-30% (垂直整合),雞/豬/鴨飼料
1215,卜蜂,Costco/Carrefour,Hypermarkets (量販店),約 10-15% (零售),"冷凍食品, 醃漬肉品"
1215,卜蜂,Priv.,F&B Chains (餐飲連鎖),約 8-10% (B2B),中央廚房原料 (雞排/腿排)
1215,卜蜂,Momo/PChome,Online Channels (電商),約 3-5% (網購),冷凍調理包
1215,卜蜂,Priv.,Egg Products (蛋品),約 3-4% (洗選蛋),"洗選蛋, 液蛋"
1215,卜蜂,Priv.,Biotech (生技),約 1% (研發),動物疫苗/營養品
1215,卜蜂,Priv.,Others (其他),約 1-2% (副產品),羽毛粉等
1216,統一,1789,神隆,約 1% (製藥),原料藥 (多角化)
1216,統一,2912,統一超,約 51-57% (集團通路),"鮮食, 飲料, 代收服務 (自營通路)"
1216,統一,5903,全家,,飲料/泡麵 (供應商)
1216,統一,8044,網家,,大股東/物流倉儲合作
1216,統一,9907,統一實,約 4-5% (包材事業),"飲料包裝, 馬口鐵"
1216,統一,0220.HK,Uni-President China (統一中控),約 20-22% (大陸市場),"方便麵, 飲料 (阿薩姆/統一紅燒牛肉麵)"
1216,統一,Priv.,Carrefour (家樂福),約 5-8% (量販通路),"食品雜貨, 生鮮 (併購綜效)"
1216,統一,Priv.,Starbucks (星巴克),約 3-4% (合資轉投資),咖啡餐飲 (權益法認列/營收)
1216,統一,Priv.,Cosmed (康是美),約 2-3% (藥妝),"美妝, 保健品"
1216,統一,Priv.,Dream Mall (夢時代),約 1-2% (百貨),商場租賃
1216,統一,B2B,Food Service (大宗客戶),約 2-3% (業務用),"麵粉, 飼料, 食用油"
1216,統一,Priv.,Logistics (捷盟/統昶),約 1-2% (物流),常溫/低溫物流服務
1218,泰山,B2B,Food Industry Clients (食品加工),約 35-40% (業務用),"沙拉油, 黃豆粉 (大宗物資)"
1218,泰山,PX Mart (全聯),Retail Channels (零售通路),約 25-30% (消費品),"泰山純水, 八寶粥, 仙草蜜, 油品"
1218,泰山,7-11/FamilyMart,Convenience Stores (超商),約 15-18% (即飲),"冰鎮紅茶, 氣泡水, 仙草蜜"
1218,泰山,Priv.,Food Service (餐飲通路),約 10-12% (業務用),"18 公升桶裝油, 豆粉"
1218,泰山,USA/Canada,International Markets (海外),約 8-10% (外銷),點心罐頭 (八寶粥) 外銷北美
1218,泰山,Zhangzhou,China Market (大陸市場),約 8-10% (漳州廠),"仙草蜜, 八寶粥 (大陸內銷)"
1218,泰山,Farms,Feed Clients (飼料客戶),約 3% (飼料),水產飼料 (空白飼料)
1218,泰山,Momo,E-commerce (電商),約 2-3% (網購),"箱購水, 油品"
1218,泰山,Seasonal,Gift Market (禮盒),約 1-2% (節慶),"珍穀益, 油品禮盒"
1218,泰山,Rent,Others (其他),約 2-4% (租賃),資產出租/勞務
1227,佳格,5903,全家,,食品飲料
1227,佳格,Retail,Dairy Products (乳製品),約 40% (主力),"桂格成人奶粉, 福樂鮮奶/優酪乳"
1227,佳格,Costco/PX Mart,Nutrition/Oats (營養食品),約 35% (保健),"桂格燕麥片, 完膳, 養氣人蔘, 活靈芝"
1227,佳格,Retail,Kitchen/Oil (廚房料理),約 20% (油品),"得意的一天葵花油, 橄欖油, 醬料"
1227,佳格,Carrefour/Costco,Hypermarkets (量販通路),約 20-25% (通路),"大包裝燕麥, 奶粉, 油品"
1227,佳格,Priv.,PX Mart (全聯),約 15-20% (超市),"鮮奶, 燕麥片, 保健飲品"
1227,佳格,Watsons/GreatTree,Drugstores (藥妝/藥局),約 10-12% (保健),"完膳營養素, 養氣人蔘, 奶粉"
1227,佳格,7-11/FamilyMart,Convenience Stores (超商),約 8-10% (即飲),"桂格喝的燕麥, 福樂優酪乳"
1227,佳格,Duoli,China Market (大陸市場),約 10-15% (油品),多力葵花油 (中國內銷)
1227,佳格,Momo,E-commerce (電商),約 3-5% (網購),"保健禮盒, 箱購燕麥"
1227,佳格,Priv.,Others (其他),約 1-2% (其他),代理產品
1229,聯華,,Bakeries/Noodle Makers,,Flour
1229,聯華,,Electronics (via Mitac),,System Integration
1231,聯華食,2912,統一超,約 50-52% (鮮食代工),"御飯糰, 便當, 涼麵, 三明治"
1231,聯華食,COST,Costco (好市多),約 3-4% (大包裝),"萬歲牌特別版, 卡迪那"
1231,聯華食,Priv.,PX Mart (全聯 - 休閒),約 15-18% (零食),"萬歲牌堅果, 元本山海苔, 卡迪那"
1231,聯華食,Carrefour,Hypermarkets (量販 - 家樂福/大潤發),約 12-15% (大包裝),"堅果禮盒, 休閒食品"
1231,聯華食,7-11/FamilyMart,Convenience Stores (超商 - 零售),約 8-10% (休閒),"可樂果, 萬歲牌隨手包"
1231,聯華食,Momo/PChome,E-commerce (電商),約 3-5% (網購),"堅果箱購, 海苔禮盒"
1231,聯華食,Global,Export Markets (外銷),約 1-2% (海外),可樂果 (台灣味)
